user_id,amount,created_at,settled_at,is_settled
1,185.28,2024-04-09,2024-04-11,1
1,377.87,2024-09-14,2024-09-15,1
1,255.9,2024-11-09,2024-11-09,1
1,269.11,2024-02-28,2024-03-01,1
1,1091.29,2024-02-24,2024-02-28,1
1,347.96,2024-11-02,2024-11-02,1
1,251.32,2024-09-20,2024-09-21,1
1,329.44,2024-02-19,2024-02-20,1
1,111.4,2024-07-09,2024-07-10,1
1,312.77,2024-09-26,2024-09-28,1
1,380.44,2024-12-03,2024-12-04,1
1,326.85,2024-07-06,2024-07-06,1
1,199.43,2024-01-09,2024-01-11,1
1,271.98,2024-03-21,2024-03-23,1
1,200.26,2024-11-23,2024-11-23,1
1,324.62,2024-03-02,2024-03-04,1
1,87.13,2024-08-14,2024-08-15,1
1,658.34,2024-01-05,2024-01-07,1
1,248.06,2024-06-27,2024-06-29,1
1,533.61,2024-04-05,2024-04-05,1
1,266.89,2024-02-05,2024-02-15,1
2,913.4,2024-10-12,2024-10-23,1
2,228.67,2024-04-30,2024-04-30,1
2,319.61,2024-07-16,2024-07-16,1
2,1412.52,2024-05-31,2024-06-09,1
2,369.11,2024-08-20,2024-08-21,1
2,410.71,2024-04-22,2024-04-28,1
2,76.32,2024-05-09,2024-05-11,1
2,590.66,2024-05-09,2024-05-10,1
2,338.53,2024-09-03,2024-09-05,1
2,119.08,2024-11-20,2024-11-21,1
2,236.06,2024-08-27,2024-08-27,1
2,171.77,2024-05-27,2024-05-29,1
2,259.32,2024-05-26,2024-05-28,1
2,614.85,2024-12-03,2024-12-05,1
2,185.68,2024-05-30,2024-05-31,1
2,738.24,2024-02-29,2024-02-29,1
2,132.28,2024-05-19,2024-05-21,1
2,251.15,2024-07-26,2024-07-27,1
2,198.8,2024-04-25,2024-04-26,1
2,757.54,2024-04-08,2024-04-13,1
2,1301.56,2024-12-03,2024-12-05,1
2,138.32,2024-10-15,2024-10-17,1
2,666.52,2024-05-07,2024-05-09,1
2,112.48,2024-02-07,2024-02-13,1
2,213.92,2024-10-09,2024-10-09,1
2,2068.93,2024-11-12,2024-11-19,1
3,592.59,2024-04-08,2024-04-16,1
3,377.87,2024-04-08,2024-04-15,1
3,704.2,2024-06-09,2024-06-10,1
3,690.44,2024-12-25,2024-12-26,1
3,447.23,2024-12-07,2024-12-09,1
3,859.61,2024-10-25,2024-11-04,1
3,433.46,2024-09-03,2024-09-04,1
3,605.98,2024-11-16,2024-11-17,1
3,322.97,2024-11-17,2024-11-19,1
3,712.76,2024-06-01,2024-06-02,1
3,679.72,2024-06-28,2024-06-30,1
3,82.82,2024-04-10,2024-04-10,1
3,942.13,2024-12-15,2024-12-17,1
3,369.74,2024-05-23,2024-05-30,1
3,121.05,2024-12-11,2024-12-11,1
3,47.84,2024-05-06,2024-05-06,1
3,90.04,2024-03-29,2024-03-29,1
3,315.44,2024-07-07,2024-07-09,1
3,1211.88,2024-06-02,2024-06-10,1
3,284.4,2024-10-11,2024-10-11,1
3,332.49,2024-07-22,2024-07-23,1
3,250.55,2024-02-08,2024-02-09,1
3,47.51,2024-11-20,2024-11-27,1
3,122.14,2024-09-06,2024-09-17,1
3,561.52,2024-10-06,2024-10-11,1
3,784.65,2024-06-08,2024-06-19,1
3,708.22,2024-06-27,2024-07-04,1
3,1315.65,2024-06-16,2024-06-16,1
4,407.56,2024-04-23,2024-04-23,1
4,71.93,2024-08-04,2024-08-04,1
4,32.58,2024-08-14,2024-08-25,1
4,1045.3,2024-04-05,2024-04-06,1
4,91.77,2024-10-05,2024-10-05,1
4,545.18,2024-03-02,2024-03-02,1
4,677.8,2024-08-20,2024-08-24,1
4,324.34,2024-07-24,2024-07-26,1
4,197.49,2024-01-25,2024-01-25,1
4,412.07,2024-05-30,2024-06-01,1
4,412.73,2024-08-10,2024-08-12,1
